df_hash,22ZHK4.3NGMYT
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.VVA5
person_label,V18
date_time_start,2025-05-23_10-26-57.429000_+03
date_time_start_unix,1747985217.429
date_time_end,2025-05-23_10-35-12.468000_+03
length_difference_noticed,no

time,acc_mag
43.969,1.011
43.999,1.003
44.029,1.005
44.059,1.009
44.089,1.006
44.119,1.008
44.149,1.009
44.179,1.008
44.209,1.006
44.239,1.000
44.269,0.996
44.299,1.005
44.329,0.998
44.359,1.008
44.389,1.011
44.419,1.002
44.449,1.000
44.479,1.008
44.509,1.009
44.539,1.008
44.569,1.000
44.599,1.005
44.629,1.002
44.659,1.000
44.689,1.005
44.719,1.009
44.749,1.006
44.779,1.003
44.809,1.005
44.839,1.002
44.869,1.000
44.899,1.000
44.929,1.006
44.959,1.013
44.989,1.004
45.019,1.006
45.049,1.003
45.079,1.003
45.109,1.002
45.139,1.012
45.169,1.008
45.199,1.007
45.229,0.998
45.259,1.000
45.289,1.003
45.319,1.013
45.349,1.005
45.379,1.012
45.409,1.007
45.439,1.010
45.469,1.000
45.499,1.006
45.529,1.002
45.559,1.008
45.589,1.008
45.619,1.002
45.649,1.001
45.679,1.002
45.709,1.004
45.739,1.005
45.769,1.005
45.799,1.008
45.829,1.005
45.859,1.014
45.889,1.002
45.919,1.013
45.949,0.994
45.979,1.002
46.009,1.002
46.039,1.003
46.069,1.010
46.099,1.016
46.129,1.002
46.159,1.009
46.189,1.007
46.219,1.002
46.249,1.008
46.279,1.003
46.309,1.001
46.339,0.997
46.369,1.002
46.399,0.998
46.429,1.003
46.459,1.001
46.489,1.005
46.519,1.001
46.549,1.017
46.579,1.002
46.609,1.011
46.639,1.003
46.669,1.006
46.699,0.999
46.729,1.000
46.759,1.002
46.789,1.002
46.819,1.002
46.849,1.000
46.879,1.006
46.909,1.008
46.939,0.999
46.969,1.005
46.999,1.008
47.029,0.998
47.059,1.004
47.089,1.001
47.119,1.005
47.149,1.004
47.179,1.001
47.209,0.998
47.239,1.000
47.269,0.999
47.299,1.005
47.329,0.993
47.359,1.004
47.389,0.999
47.419,1.003
47.449,1.003
47.479,1.009
47.509,1.009
47.539,1.004
47.569,1.006
47.599,1.009
47.629,0.999
47.659,1.001
47.689,0.994
47.719,1.004
47.749,1.003
47.779,1.002
47.809,1.005
47.839,1.002
47.869,1.004
47.899,1.004
47.929,1.005
47.959,1.001
47.989,1.005
48.019,1.000
48.049,0.995
48.079,1.001
48.109,1.004
48.139,1.008
48.169,1.008
48.199,1.005
48.229,1.007
48.259,0.999
48.289,1.000
48.319,1.000
48.349,1.004
48.379,1.005
48.409,1.002
48.439,0.999
48.469,1.002
48.499,1.003
48.529,1.002
48.559,1.003
48.589,1.002
48.619,1.011
48.649,1.003
48.679,1.006
48.709,1.000
48.739,1.005
48.769,1.015
48.799,0.998
48.829,1.009
48.859,1.003
48.889,0.996
48.919,0.998
48.949,1.000
48.979,0.999
49.009,0.999
49.039,1.006
49.069,0.998
49.099,1.004
49.129,1.002
49.159,0.999
49.189,1.003
49.219,1.002
49.249,1.002
49.279,1.002
49.309,1.012
49.339,1.005
49.369,1.003
49.399,1.006
49.429,1.002
49.459,0.999
49.489,0.998
49.519,0.999
49.549,1.001
49.579,1.003
49.609,1.006
49.639,1.003
49.669,1.001
49.699,1.012
49.729,0.991
49.759,1.011
49.789,1.008
49.819,1.001
49.849,1.006
49.879,1.002
49.909,1.005
49.939,1.002
49.969,1.009
49.999,0.997
50.029,1.000
50.059,1.005
50.089,1.000
50.119,1.004
50.149,1.002
50.179,1.009
50.209,1.010
50.239,1.009
50.269,1.004
50.299,1.005
50.329,1.004
50.359,1.000
50.389,0.997
50.419,1.001
50.449,1.002
50.479,1.000
50.509,1.008
50.539,1.004
50.569,1.002
50.599,1.002
50.629,1.004
50.659,1.001
50.689,1.011
50.719,1.001
50.749,0.995
50.779,1.001
50.809,1.006
50.839,1.005
50.869,1.005
50.899,1.009
50.929,1.004
50.959,1.010
50.989,1.005
51.019,1.004
51.049,1.004
