df_hash,22ZHK4.LDJS1X
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.K7SC
person_label,V9
date_time_start,2025-05-22_11-15-08.285000_+03
date_time_start_unix,1747901708.285
date_time_end,2025-05-22_11-23-57.022000_+03
length_difference_noticed,no

time,acc_mag
48.270,1.006
48.300,1.003
48.330,1.007
48.360,1.007
48.390,1.003
48.420,1.006
48.450,1.003
48.480,1.007
48.510,1.006
48.540,1.006
48.570,1.004
48.600,1.004
48.630,1.003
48.660,1.005
48.690,1.009
48.720,1.008
48.750,1.006
48.780,1.003
48.810,1.009
48.840,1.006
48.870,1.002
48.900,1.003
48.930,1.002
48.960,1.009
48.990,1.005
49.020,1.010
49.050,1.003
49.080,1.000
49.110,1.006
49.140,1.006
49.170,1.006
49.200,1.005
49.230,1.005
49.260,1.004
49.290,1.008
49.320,1.008
49.350,1.003
49.380,1.006
49.410,1.003
49.440,1.005
49.470,1.006
49.500,1.006
49.530,1.006
49.560,1.011
49.590,1.004
49.620,1.004
49.650,1.001
49.680,1.005
49.710,1.003
49.740,1.005
49.770,1.006
49.800,1.001
49.830,1.006
49.860,1.009
49.890,1.006
49.920,0.999
49.950,1.002
49.980,1.005
50.010,1.004
50.040,1.003
50.070,1.004
50.100,1.006
50.130,0.999
50.160,1.007
50.190,1.004
50.220,1.005
50.250,1.008
50.280,1.003
50.310,0.999
50.340,1.010
50.370,1.006
50.400,1.000
50.430,1.003
50.460,1.006
50.490,1.007
50.520,1.008
50.550,1.008
50.580,1.011
50.610,1.007
50.640,1.001
50.670,0.998
50.700,1.005
50.730,1.007
50.760,1.011
50.790,1.006
50.820,1.005
50.850,1.002
50.880,1.001
50.910,1.004
50.940,1.008
50.970,1.011
51.000,1.004
51.030,1.002
51.060,1.008
51.090,1.005
51.120,1.006
51.150,1.003
51.180,0.998
51.210,1.001
51.240,1.005
51.270,1.003
51.300,1.007
51.330,1.005
51.360,0.998
51.390,1.002
51.420,1.001
51.450,1.006
51.480,1.009
51.510,1.001
51.540,1.003
51.570,1.002
51.600,1.005
51.630,1.003
51.660,1.003
51.690,1.004
51.720,1.009
51.750,1.004
51.780,1.004
51.810,1.003
51.840,1.006
51.870,1.002
51.900,1.005
51.930,1.006
51.960,1.004
51.990,1.001
52.020,1.004
52.050,1.004
52.080,1.003
52.110,1.004
52.140,1.004
52.170,1.004
52.200,1.004
52.230,1.006
52.260,1.004
52.290,1.007
52.320,1.002
52.350,1.003
52.380,1.005
52.410,0.996
52.440,1.009
52.470,1.005
52.500,1.005
52.530,0.998
52.560,1.002
52.590,1.003
52.620,1.003
52.650,1.010
52.680,1.006
52.710,1.001
52.740,1.003
52.770,1.002
52.800,1.001
52.830,1.005
52.860,1.005
52.890,1.002
52.920,1.002
52.950,1.002
52.980,1.004
53.010,1.005
53.040,1.003
53.070,1.007
53.100,1.004
53.130,1.003
53.160,1.005
53.190,1.003
53.220,1.006
53.250,1.002
53.280,0.999
53.310,1.004
53.340,1.008
53.370,1.006
53.400,1.003
53.430,1.000
53.460,1.003
53.490,1.002
53.520,1.003
53.550,1.003
53.580,1.003
53.610,1.005
53.640,1.006
53.670,1.006
53.700,1.002
53.730,1.003
53.760,1.004
53.790,1.006
53.820,1.004
53.850,1.002
53.880,1.005
53.910,1.003
53.940,1.003
53.970,1.007
54.000,1.003
54.030,1.004
54.060,1.005
54.090,1.001
54.120,1.002
54.150,1.004
54.180,1.002
54.210,1.006
54.240,1.007
54.270,1.003
54.300,1.002
54.330,1.004
54.360,1.003
54.390,1.006
54.420,1.007
54.450,1.006
54.480,0.999
54.510,1.003
54.540,1.006
54.570,1.006
54.600,1.003
