df_hash,22ZHK4.E50QS1
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.2ES5
person_label,v130
date_time_start,2026-04-07_17-55-40.586000_+03
date_time_start_unix,1775566540.586
date_time_end,2026-04-07_18-04-27.744000_+03
length_difference_noticed,no

time,acc_mag
28.039,1.082
28.069,1.074
28.099,1.074
28.129,1.077
28.159,1.080
28.189,1.075
28.219,1.072
28.249,1.073
28.279,1.076
28.309,1.071
28.339,1.074
28.369,1.081
28.399,1.074
28.429,1.068
28.459,1.071
28.489,1.078
28.519,1.079
28.549,1.077
28.579,1.075
28.609,1.074
28.639,1.077
28.669,1.077
28.699,1.079
28.729,1.077
28.759,1.071
28.789,1.076
28.819,1.077
28.849,1.079
28.879,1.081
28.909,1.073
28.939,1.072
28.969,1.067
28.999,1.077
29.029,1.078
29.059,1.078
29.089,1.081
29.119,1.083
29.149,1.072
29.179,1.066
29.209,1.072
29.239,1.080
29.269,1.077
29.299,1.071
29.329,1.072
29.359,1.076
29.389,1.074
29.419,1.075
29.449,1.082
29.479,1.078
29.509,1.073
29.539,1.076
29.569,1.076
29.599,1.074
29.629,1.075
29.659,1.079
29.689,1.077
29.719,1.074
29.749,1.064
29.779,1.075
29.809,1.083
29.839,1.079
29.869,1.079
29.899,1.074
29.929,1.073
29.959,1.075
29.989,1.081
30.019,1.074
30.049,1.068
30.079,1.072
30.109,1.079
30.139,1.071
30.169,1.069
30.199,1.080
30.229,1.080
30.259,1.068
30.289,1.071
30.319,1.080
30.349,1.078
30.379,1.070
30.409,1.078
30.439,1.076
30.469,1.078
30.499,1.072
30.529,1.071
30.559,1.077
30.589,1.077
30.619,1.080
30.649,1.071
30.679,1.072
30.709,1.077
30.739,1.074
30.769,1.074
30.799,1.084
30.829,1.078
30.859,1.074
30.889,1.075
30.919,1.074
30.949,1.077
30.979,1.075
31.009,1.080
31.039,1.078
31.069,1.078
31.099,1.071
31.129,1.070
31.159,1.067
31.189,1.074
31.219,1.077
31.249,1.079
31.279,1.075
31.309,1.072
31.339,1.076
31.369,1.073
31.399,1.077
31.429,1.077
31.459,1.081
31.489,1.074
31.519,1.071
31.549,1.075
31.579,1.072
31.609,1.075
31.639,1.076
31.669,1.073
31.699,1.079
31.729,1.075
31.759,1.070
31.789,1.072
31.819,1.074
31.849,1.080
31.879,1.077
31.909,1.071
31.939,1.070
31.969,1.076
31.999,1.079
32.029,1.073
32.059,1.078
32.089,1.079
32.119,1.074
32.149,1.069
32.179,1.078
32.209,1.084
32.239,1.076
32.269,1.070
32.299,1.077
32.329,1.081
32.359,1.077
32.389,1.067
32.419,1.081
32.449,1.080
32.479,1.078
32.509,1.073
32.539,1.073
32.569,1.078
32.599,1.075
