df_hash,22ZHK4.M833G2
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.3VJX
person_label,V59
date_time_start,2025-10-31_15-29-03.527000_+03
date_time_start_unix,1761910143.527
date_time_end,2025-10-31_15-37-19.121000_+03
length_difference_noticed,no

time,acc_mag
54.463,1.048
54.493,1.050
54.523,1.047
54.553,1.053
54.583,1.052
54.613,1.043
54.643,1.049
54.673,1.049
54.703,1.050
54.733,1.052
54.763,1.049
54.793,1.054
54.823,1.046
54.853,1.050
54.883,1.053
54.913,1.047
54.943,1.050
54.973,1.050
55.003,1.045
55.033,1.051
55.063,1.044
55.093,1.045
55.123,1.048
55.153,1.051
55.183,1.047
55.213,1.045
55.243,1.050
55.273,1.051
55.303,1.054
55.333,1.048
55.363,1.049
55.393,1.043
55.423,1.050
55.453,1.052
55.483,1.048
55.513,1.047
55.543,1.044
55.573,1.046
55.603,1.047
55.633,1.047
55.663,1.051
55.693,1.051
55.723,1.045
55.753,1.048
55.783,1.050
55.813,1.047
55.843,1.044
55.873,1.051
55.903,1.053
55.933,1.047
55.963,1.047
55.993,1.056
56.023,1.047
56.053,1.048
56.083,1.054
56.113,1.042
56.143,1.043
56.173,1.051
56.203,1.051
56.233,1.050
56.263,1.049
56.293,1.048
56.323,1.047
56.353,1.046
56.383,1.044
56.413,1.051
56.443,1.051
56.473,1.055
56.503,1.042
56.533,1.048
56.563,1.048
56.593,1.048
56.623,1.051
56.653,1.048
56.683,1.047
56.713,1.045
56.743,1.044
56.773,1.051
56.803,1.049
56.833,1.051
56.863,1.049
56.893,1.047
56.923,1.052
56.953,1.049
56.983,1.051
57.013,1.048
57.043,1.048
57.073,1.046
57.103,1.053
57.133,1.048
57.163,1.050
57.193,1.053
57.223,1.047
57.253,1.044
57.283,1.047
57.313,1.051
57.343,1.048
57.373,1.047
57.403,1.046
57.433,1.047
57.463,1.051
57.493,1.051
57.523,1.050
57.553,1.053
57.583,1.047
57.613,1.038
57.643,1.051
57.673,1.048
57.703,1.049
57.733,1.052
57.763,1.046
57.793,1.047
57.823,1.050
57.853,1.052
57.883,1.055
57.913,1.043
57.943,1.044
57.973,1.046
58.003,1.050
58.033,1.044
58.063,1.050
58.093,1.053
58.123,1.049
58.153,1.042
58.183,1.054
58.213,1.049
58.243,1.046
58.273,1.051
58.303,1.052
58.333,1.044
58.363,1.044
58.393,1.045
58.423,1.053
58.453,1.052
58.483,1.050
58.513,1.046
58.543,1.048
58.573,1.049
58.603,1.048
58.633,1.051
58.663,1.052
58.693,1.045
58.723,1.044
58.753,1.050
58.783,1.049
58.813,1.049
58.843,1.051
58.873,1.047
58.903,1.047
58.933,1.050
58.963,1.049
58.993,1.047
59.023,1.047
59.053,1.048
59.083,1.045
59.113,1.048
59.143,1.049
59.173,1.047
59.203,1.049
59.233,1.051
59.263,1.047
59.293,1.045
59.323,1.057
59.353,1.049
59.383,1.044
59.413,1.053
59.443,1.045
59.473,1.048
59.503,1.051
59.533,1.050
59.563,1.051
59.593,1.046
59.623,1.051
59.653,1.047
59.683,1.048
59.713,1.045
59.743,1.048
59.773,1.050
59.803,1.044
59.833,1.046
59.863,1.042
59.893,1.053
59.923,1.054
59.953,1.048
59.983,1.047
60.013,1.043
60.043,1.045
60.073,1.049
60.103,1.048
60.133,1.053
60.163,1.051
60.193,1.045
60.223,1.045
60.253,1.047
60.283,1.045
60.313,1.048
60.343,1.051
60.373,1.054
60.403,1.041
60.433,1.043
60.463,1.057
60.493,1.048
60.523,1.047
60.553,1.050
60.583,1.044
60.613,1.049
60.643,1.046
60.673,1.044
60.703,1.052
60.733,1.051
60.763,1.048
60.793,1.045
60.823,1.051
60.853,1.045
60.883,1.054
60.913,1.054
60.943,1.049
60.973,1.040
61.003,1.052
61.033,1.053
61.063,1.054
61.093,1.055
61.123,1.046
61.153,1.045
61.183,1.044
61.213,1.043
61.243,1.053
61.273,1.050
61.303,1.052
61.333,1.048
61.363,1.050
61.393,1.049
61.423,1.053
61.453,1.053
61.483,1.044
61.513,1.050
61.543,1.043
61.573,1.054
61.603,1.054
61.633,1.047
61.663,1.048
61.693,1.045
61.723,1.042
61.753,1.049
61.783,1.049
61.813,1.055
61.843,1.052
61.873,1.049
61.903,1.044
