df_hash,22ZHK4.QGNKHU
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.M000
person_label,V84
date_time_start,2025-11-03_17-16-01.922000_+03
date_time_start_unix,1762175761.922
date_time_end,2025-11-03_17-24-49.400000_+03
length_difference_noticed,no

time,acc_mag
35.888,0.996
35.918,0.997
35.948,0.995
35.978,0.990
36.008,0.985
36.038,0.994
36.068,0.996
36.098,0.995
36.128,0.988
36.158,0.993
36.188,0.989
36.218,0.991
36.248,0.981
36.278,0.985
36.308,0.988
36.338,0.987
36.368,0.995
36.398,0.997
36.428,0.993
36.458,0.992
36.488,0.995
36.518,0.994
36.548,0.994
36.578,0.990
36.608,0.986
36.638,0.981
36.668,0.997
36.698,0.991
36.728,0.988
36.758,0.994
36.788,0.995
36.818,0.987
36.848,0.986
36.878,0.983
36.908,0.988
36.938,0.991
36.968,0.994
36.998,0.989
37.028,0.990
37.058,0.990
37.088,0.995
37.118,0.989
37.148,0.988
37.178,0.994
37.208,0.994
37.238,0.988
37.268,0.983
37.298,0.986
37.328,0.999
37.358,0.992
37.388,0.990
37.418,0.990
37.448,0.987
37.478,0.989
37.508,0.988
37.538,0.994
37.568,0.990
37.598,0.992
37.628,0.986
37.658,0.987
37.688,0.990
37.718,0.987
37.748,0.990
37.778,0.993
37.808,0.996
37.838,0.992
37.868,0.987
37.898,0.991
37.928,0.988
37.958,0.989
37.988,0.994
38.018,0.994
38.048,0.995
38.078,0.990
38.108,0.990
38.138,0.988
38.168,0.982
38.198,0.988
38.228,0.992
38.258,0.990
38.288,0.987
38.318,0.995
38.348,0.977
38.378,0.988
38.408,0.993
38.438,0.992
38.468,0.990
38.498,0.984
38.528,0.986
38.558,0.991
38.588,0.997
38.618,0.993
38.648,0.993
38.678,0.988
38.708,0.986
38.738,0.983
38.768,1.000
38.798,0.986
38.828,0.995
38.858,0.988
38.888,0.983
38.918,0.988
38.948,0.991
38.978,0.984
39.008,0.992
39.038,0.993
39.068,0.993
39.098,0.996
39.128,0.991
39.158,0.990
39.188,0.993
39.218,0.991
39.248,0.991
39.278,0.994
39.308,0.987
39.338,0.984
39.368,0.992
39.398,0.985
39.428,0.990
39.458,0.994
39.488,0.994
39.518,0.989
39.548,0.989
39.578,0.988
39.608,0.994
39.638,0.993
39.668,0.990
39.698,0.989
39.728,0.994
39.758,0.989
39.788,0.990
39.818,0.994
39.848,0.995
39.878,0.990
39.908,0.995
39.938,0.991
39.968,0.987
39.998,0.991
40.028,0.995
40.058,0.997
40.088,0.990
40.118,0.990
40.148,0.989
40.178,0.989
40.208,0.990
40.238,0.989
40.268,0.990
40.298,0.992
40.328,0.991
40.358,0.993
40.388,0.993
40.418,0.990
40.448,0.986
40.478,0.989
40.508,0.997
40.538,0.991
40.568,0.989
40.598,0.987
40.628,0.989
40.658,0.995
40.688,0.986
40.718,0.990
40.748,0.993
40.778,0.993
40.808,0.989
40.838,0.990
40.868,0.987
40.898,0.992
40.928,0.995
40.958,0.995
40.988,0.993
41.018,0.992
41.048,0.994
41.078,0.990
41.108,0.991
41.138,0.988
41.168,0.998
41.198,0.995
41.228,0.992
41.258,0.993
41.288,0.988
41.318,0.984
41.348,0.993
41.378,0.986
41.408,0.992
41.438,0.992
41.468,0.988
41.498,0.990
41.528,0.992
41.558,0.987
41.588,0.987
41.618,0.996
41.648,0.993
41.678,0.997
41.708,0.996
41.738,0.989
41.768,0.982
41.798,0.989
41.828,0.989
41.858,0.997
41.888,0.987
41.918,0.993
41.948,0.990
41.978,0.984
42.008,0.993
42.038,1.000
42.068,0.986
42.098,0.990
42.128,0.996
42.158,0.991
42.188,0.993
42.218,0.989
42.248,0.981
42.278,0.989
42.308,0.991
42.338,0.996
42.368,0.997
42.398,0.992
42.428,0.988
42.458,0.996
42.488,0.995
42.518,0.994
42.548,0.995
42.578,0.994
42.608,0.989
42.638,0.985
42.668,0.986
42.698,0.979
42.728,0.992
42.758,0.994
42.788,0.996
42.818,0.990
42.848,0.994
