df_hash,22ZHK4.3RS3P8
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.CV3S
person_label,v119
date_time_start,2026-03-10_17-43-05.648000_+03
date_time_start_unix,1773150185.648
date_time_end,2026-03-10_17-53-26.485000_+03
length_difference_noticed,no

time,acc_mag
44.304,0.987
44.334,0.981
44.364,0.986
44.394,1.021
44.424,0.996
44.454,0.983
44.484,0.979
44.514,0.949
44.544,0.974
44.574,1.010
44.604,1.001
44.634,0.987
44.664,0.999
44.694,0.998
44.724,1.009
44.754,1.020
44.784,0.994
44.814,0.976
44.844,0.969
44.874,0.972
44.904,0.997
44.934,1.000
44.964,1.004
44.994,1.022
45.024,1.011
45.054,1.000
45.084,0.993
45.114,0.981
45.144,0.982
45.174,0.979
45.204,0.967
45.234,0.967
45.264,0.974
45.294,0.974
45.324,0.978
45.354,0.998
45.384,0.993
45.414,1.008
45.444,1.009
45.474,0.983
45.504,0.974
45.534,0.986
45.564,0.998
45.594,0.986
45.624,0.992
45.654,0.987
45.684,0.978
45.714,0.987
45.744,0.997
45.774,0.999
45.804,0.985
45.834,0.982
45.864,0.992
45.894,0.983
45.924,0.986
45.954,0.991
45.984,0.991
46.014,0.979
46.044,0.976
46.074,0.969
46.104,0.973
46.134,0.986
46.164,1.005
46.194,0.998
46.224,0.994
46.254,0.999
46.284,1.003
46.314,0.993
46.344,0.976
46.374,0.983
46.404,0.996
46.434,0.980
46.464,0.987
46.494,0.994
46.524,0.988
46.554,0.977
46.584,0.999
46.614,1.005
46.644,0.985
46.674,0.981
46.704,0.968
46.734,0.951
46.764,0.934
46.794,0.949
46.824,0.971
46.854,1.001
46.884,1.042
46.914,1.038
46.944,1.057
46.974,1.052
47.004,1.053
47.034,1.016
47.064,0.979
47.094,0.995
47.124,0.990
47.154,0.990
47.184,0.993
47.214,0.997
47.244,1.010
47.274,1.027
47.304,1.021
47.334,1.007
47.364,1.004
47.394,1.001
47.424,0.992
47.454,0.978
47.484,0.969
47.514,0.973
47.544,0.972
47.574,0.988
47.604,1.010
47.634,0.998
47.664,0.993
47.694,1.000
47.724,0.990
47.754,0.979
47.784,0.988
47.814,0.997
47.844,0.999
47.874,0.995
47.904,0.990
47.934,0.993
47.964,0.982
47.994,0.987
48.024,0.988
48.054,0.994
48.084,0.998
48.114,1.001
48.144,0.998
48.174,0.998
48.204,0.997
48.234,0.992
48.264,0.986
48.294,0.984
48.324,0.990
48.354,0.991
48.384,0.989
48.414,0.990
48.444,0.993
48.474,0.993
48.504,0.994
48.534,0.997
48.564,0.998
48.594,0.991
48.624,0.983
48.654,0.994
