df_hash,22ZHK4.KA6GFR
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.L5GC
person_label,V154
date_time_start,2026-06-08_19-14-06.709000_+03
date_time_start_unix,1780928046.709
date_time_end,2026-06-08_19-27-56.057000_+03
length_difference_noticed,no

time,acc_mag
43.095,1.016
43.125,1.012
43.155,1.009
43.185,1.004
43.215,1.009
43.245,1.014
43.275,1.012
43.305,1.012
43.335,1.015
43.365,1.010
43.395,1.010
43.425,1.010
43.455,1.009
43.485,1.013
43.515,1.007
43.545,1.010
43.575,1.014
43.605,1.019
43.635,1.009
43.665,1.003
43.695,1.006
43.725,1.011
43.755,1.014
43.785,1.011
43.815,1.010
43.845,1.010
43.875,1.012
43.905,1.007
43.935,1.006
43.965,1.010
43.995,1.013
44.025,1.013
44.055,1.011
44.085,1.010
44.115,1.011
44.145,1.012
44.175,1.007
44.205,1.007
44.235,1.021
44.265,1.018
44.295,1.012
44.325,1.010
44.355,1.007
44.385,1.003
44.415,1.008
44.445,1.007
44.475,1.012
44.505,1.016
44.535,1.015
44.565,1.006
44.595,1.003
44.625,1.011
44.655,1.014
44.685,1.014
44.715,1.017
44.745,1.009
44.775,1.000
44.805,1.001
44.835,1.011
44.865,1.015
44.895,1.012
44.925,1.006
44.955,1.006
44.985,1.008
45.015,1.013
45.045,1.014
45.075,1.011
45.105,1.007
45.135,1.012
45.165,1.012
45.195,1.009
45.225,1.008
45.255,1.007
45.285,1.012
45.315,1.017
45.345,1.014
45.375,1.006
45.405,1.006
45.435,1.002
45.465,1.015
45.495,1.023
45.525,1.018
45.555,1.007
45.585,1.006
45.615,1.015
45.645,1.012
45.675,1.009
45.705,1.004
45.735,1.009
45.765,1.014
45.795,1.012
45.825,1.013
45.855,1.012
45.885,1.013
45.915,1.009
45.945,1.013
45.975,1.006
46.005,1.012
46.035,1.018
46.065,1.013
46.095,1.016
46.125,1.011
46.155,1.011
46.185,1.015
46.215,1.015
46.245,1.010
46.275,1.005
46.305,1.008
46.335,1.011
46.365,1.016
46.395,1.009
46.425,1.004
46.455,1.008
46.485,1.015
46.515,1.019
46.545,1.013
46.575,1.015
46.605,1.011
46.635,1.009
46.665,1.009
46.695,1.006
46.725,1.006
46.755,1.022
46.785,1.026
46.815,1.019
46.845,1.011
46.875,1.011
46.905,1.014
46.935,1.008
46.965,1.008
46.995,1.014
47.025,1.011
47.055,1.017
47.085,1.014
47.115,1.011
47.145,1.005
47.175,1.004
47.205,1.013
47.235,1.018
47.265,1.011
47.295,1.022
47.325,1.020
47.355,1.010
47.385,1.004
47.415,1.016
47.445,1.012
47.475,1.011
47.505,1.016
47.535,1.011
47.565,1.012
47.595,1.011
47.625,1.012
47.655,1.014
47.685,1.012
47.715,1.009
47.745,1.014
47.775,1.010
47.805,1.010
47.835,1.013
47.865,1.011
47.895,1.010
47.925,1.011
47.955,1.008
47.985,1.007
48.015,1.012
48.045,1.020
48.075,1.021
48.105,1.014
48.135,1.008
48.165,1.007
48.195,1.007
48.225,1.005
48.255,1.007
48.285,1.015
48.315,1.018
48.345,1.019
48.375,1.007
48.405,1.009
48.435,1.016
